s,p,o
state_3_-4_26_0_9_850,has_long,long_-39
state_4_-6_9_0_9_200,has_long,long_-62
state_3_-4_35_0_9_0,transit_to,state_3_-4_31_0_9_0
state_2_-7_14_0_9_250,transit_to,state_2_-7_14_0_9_525
state_4_-6_36_0_9_1800,has_lat,lat_35
state_1_-5_19_0_9_550,transit_to,state_1_-6_19_0_9_600
state_2_-5_34_0_9_1625,has_lat,lat_17
state_3_-9_26_0_9_1425,has_lat,lat_25
state_3_-9_20_0_9_350,escalate_to,state_3_-9_22_0_9_900
state_1_-7_23_0_9_200,has_lat,lat_15
state_3_-6_0_0_9_0,transit_to,state_3_-6_0_0_9_675
state_3_-8_29_0_9_2800,has_lat,lat_32
state_2_-10_12_0_9_1125,has_long,long_-95
state_3_-7_16_0_9_400,has_lat,lat_33
state_1_-6_8_0_9_400,transit_to,state_1_-6_9_0_9_450
state_4_-4_19_0_9_325,has_lat,lat_38
state_3_-8_3_0_9_0,transit_to,state_3_-8_4_0_9_0
state_2_-7_25_0_9_150,has_long,long_-74
state_3_-9_32_0_9_975,has_long,long_-86
state_2_-8_7_0_9_600,has_long,long_-78
state_2_-3_24_0_9_0,transit_to,state_2_-3_24_0_9_175
state_1_-4_21_0_9_750,escalate_to,state_1_-4_21_0_9_825
state_1_-4_33_0_9_500,has_lat,lat_13
state_2_-8_14_0_9_0,has_lat,lat_20
state_3_-6_20_0_9_550,transit_to,state_3_-7_9_0_9_275
state_1_-3_24_0_9_175,transit_to,state_1_-3_21_0_9_0
state_4_-2_17_0_9_150,has_long,long_-25
state_3_-7_18_0_9_1000,has_long,long_-69
state_4_-6_17_0_9_2250,has_long,long_-58
state_3_-8_19_0_9_1000,has_long,long_-85
state_2_-7_9_0_9_400,transit_to,state_2_-7_9_0_9_1000
state_2_-8_10_0_9_0,transit_to,state_2_-8_10_0_9_0
state_2_-10_12_0_9_0,has_long,long_-96
state_3_-6_30_0_9_0,has_long,long_-60
state_2_-10_5_0_9_0,escalate_to,state_2_-10_7_0_9_675
state_4_-6_60_0_9_900,has_long,long_-56
state_1_-7_25_0_9_300,has_lat,lat_12
state_2_-8_26_0_9_350,transit_to,state_2_-8_25_0_9_400
state_3_-7_10_0_9_0,has_lat,lat_30
state_5_-3_53_0_9_0,has_long,long_-34
state_1_-4_25_0_9_0,has_long,long_-40
state_2_-9_23_0_9_1500,transit_to,state_2_-9_25_0_9_1200
state_4_-4_15_0_9_0,transit_to,state_4_-4_23_0_9_0
state_3_-9_10_0_9_0,has_lat,lat_34
state_4_-5_23_0_9_0,has_lat,lat_40
state_2_-6_15_0_9_550,has_long,long_-65
state_2_-9_14_0_9_1350,has_long,long_-86
state_3_-6_38_0_9_0,has_long,long_-59
state_1_-5_14_0_9_0,has_long,long_-49
state_1_-5_22_0_9_150,transit_to,state_2_-5_21_0_9_150
state_2_-10_10_0_9_275,has_long,long_-98
state_3_-8_26_0_9_0,has_long,long_-83
state_2_-5_17_0_9_825,has_long,long_-49
state_1_-5_40_0_9_0,has_long,long_-50
state_3_-9_20_0_9_350,has_lat,lat_26
state_3_-6_14_0_9_450,has_long,long_-56
state_2_-7_20_0_9_0,transit_to,state_2_-7_19_0_9_0
state_2_-6_16_0_9_500,transit_to,state_2_-6_16_0_9_275
state_4_-4_47_0_9_0,transit_to,state_4_-4_52_0_9_275
state_3_-8_17_0_9_0,has_lat,lat_25
state_1_-4_22_0_9_0,has_long,long_-36
state_2_-5_27_0_9_225,has_long,long_-51
state_3_-7_20_0_9_0,transit_to,state_4_-7_23_0_9_500
state_2_-4_19_0_9_200,has_lat,lat_18
state_1_-4_33_0_9_250,has_lat,lat_14
state_3_-7_21_0_9_2000,has_lat,lat_26
state_1_-4_34_0_9_250,has_lat,lat_13
state_3_-4_5_0_9_0,transit_to,state_3_-4_8_0_9_500
state_3_-6_19_0_9_475,has_long,long_-57
state_2_-8_42_0_9_275,has_long,long_-75
state_3_-8_5_0_9_0,transit_to,state_3_-8_3_0_9_0
state_3_-7_18_0_9_825,has_lat,lat_27
state_3_-7_4_0_9_150,transit_to,state_3_-7_4_0_9_0
state_3_-7_7_0_9_425,has_lat,lat_26
state_3_-6_32_0_9_0,has_long,long_-59
state_2_-9_11_0_9_0,has_lat,lat_25
state_1_-4_21_0_9_750,has_long,long_-44
state_3_-8_21_0_9_375,transit_to,state_3_-8_20_0_9_375
state_1_-5_23_0_9_0,has_lat,lat_13
state_2_-4_9_0_9_500,transit_to,state_2_-4_10_0_9_1200
state_3_-4_23_0_9_250,has_lat,lat_26
state_3_-9_10_0_9_0,has_long,long_-86
state_3_-4_16_0_9_0,transit_to,state_3_-4_19_0_9_0
state_2_-5_6_0_9_0,has_long,long_-50
state_1_-4_29_0_9_250,has_lat,lat_9
state_2_-7_32_0_9_250,has_long,long_-69
state_2_-5_23_0_9_600,transit_to,state_2_-5_23_0_9_975
state_2_-9_19_0_9_175,has_long,long_-93
state_3_-8_4_0_9_675,has_lat,lat_31
state_3_-7_26_0_9_550,has_lat,lat_26
state_3_-5_32_0_9_0,has_lat,lat_31
state_1_-7_21_0_9_250,has_long,long_-68
state_3_-6_10_0_9_325,has_lat,lat_32
state_1_-7_13_0_9_150,has_long,long_-71
state_2_-8_29_0_9_0,has_long,long_-76
state_3_-9_23_0_9_1125,has_long,long_-86
state_3_-8_7_0_9_200,has_long,long_-76
state_1_-3_17_0_9_275,has_long,long_-28
state_2_-8_40_0_9_1550,escalate_to,state_2_-8_35_0_9_3100
state_3_-4_17_0_9_450,transit_to,state_3_-4_12_0_9_0
