s,p,o
state_5_-4_56_0_9_0,has_long,long_-38
state_3_-8_29_0_9_150,transit_to,state_3_-8_24_0_9_0
state_3_-7_17_0_9_325,has_lat,lat_32
state_4_-6_4_0_9_0,transit_to,state_4_-6_9_0_9_250
state_2_-6_23_0_9_0,has_lat,lat_19
state_1_-4_32_0_9_750,has_long,long_-38
state_3_-6_22_0_9_0,transit_to,state_3_-6_23_0_9_0
state_2_-6_17_0_9_450,has_lat,lat_21
state_3_-6_9_0_9_325,has_lat,lat_31
state_2_-4_28_0_9_400,has_long,long_-41
state_1_-4_33_0_9_350,transit_to,state_2_-4_34_0_9_400
state_2_-5_21_0_9_450,has_long,long_-54
state_2_-6_16_0_9_650,has_long,long_-62
state_1_-7_19_0_9_0,has_lat,lat_12
state_4_-5_10_0_9_0,has_lat,lat_38
state_2_-9_2_0_9_175,has_long,long_-95
state_1_-6_23_0_9_0,transit_to,state_1_-6_27_0_9_0
long_-34,in_long_zone,long_-3
state_1_-6_29_0_9_1725,has_lat,lat_12
state_3_-8_5_0_9_275,has_long,long_-85
state_3_-9_13_0_9_625,has_long,long_-87
state_2_-3_20_0_9_150,transit_to,state_2_-3_19_0_9_0
state_1_-5_50_0_9_0,has_lat,lat_14
state_4_-6_41_0_9_0,has_long,long_-62
state_2_-5_27_0_9_0,has_long,long_-49
state_2_-5_36_0_9_1875,has_long,long_-47
state_1_-5_19_0_9_400,has_long,long_-51
state_3_-8_11_0_9_275,has_lat,lat_26
state_2_-4_24_0_9_0,has_long,long_-43
state_2_-3_9_0_9_200,transit_to,state_2_-3_8_0_9_0
state_2_-5_7_0_9_0,has_lat,lat_16
state_2_-5_28_0_9_0,has_lat,lat_17
state_2_-8_17_0_9_0,has_long,long_-77
state_3_-7_18_0_9_1200,transit_to,state_4_-6_31_0_9_0
state_2_-3_11_0_9_0,has_lat,lat_15
state_2_-9_12_0_9_0,transit_to,state_2_-9_12_0_9_150
state_4_-5_25_0_9_525,has_long,long_-49
state_2_-6_31_0_9_0,has_lat,lat_22
state_2_-9_9_0_9_400,transit_to,state_2_-9_11_0_9_200
state_2_-6_21_0_9_0,transit_to,state_2_-6_19_0_9_0
state_3_-6_16_0_9_525,transit_to,state_3_-6_12_0_9_0
state_2_-8_13_0_9_0,has_long,long_-82
state_2_-9_19_0_9_150,has_lat,lat_17
state_1_-4_28_0_9_0,has_long,long_-42
state_4_-3_2_0_9_0,has_long,long_-34
state_4_-4_22_0_9_375,has_long,long_-39
state_2_-8_11_0_9_150,transit_to,state_2_-8_15_0_9_350
state_2_-8_13_0_9_950,has_lat,lat_24
state_2_-9_6_0_9_1100,has_lat,lat_22
state_2_-8_9_0_9_0,has_long,long_-77
state_2_-4_27_0_9_750,has_long,long_-44
state_3_-4_49_0_9_0,has_lat,lat_30
state_1_-3_30_0_9_0,transit_to,state_1_-3_28_0_9_0
state_2_-8_10_0_9_300,transit_to,state_2_-8_12_0_9_600
state_2_-9_11_0_9_600,has_lat,lat_24
state_2_-5_16_0_9_450,has_lat,lat_23
state_2_-7_24_0_9_2500,has_long,long_-68
state_3_-7_12_0_9_1800,has_long,long_-74
state_1_-7_23_0_9_0,transit_to,state_2_-7_25_0_9_150
state_3_-6_36_0_9_350,has_lat,lat_33
state_3_-6_32_0_9_0,transit_to,state_3_-6_32_0_9_0
state_3_-8_22_0_9_1950,has_lat,lat_26
state_1_-3_21_0_9_0,transit_to,state_1_-3_22_0_9_0
state_3_-7_19_0_9_0,has_lat,lat_27
state_2_-6_5_0_9_275,has_lat,lat_17
state_3_-5_22_0_9_0,has_lat,lat_35
state_2_-5_7_0_9_0,has_long,long_-55
state_3_-7_20_0_9_200,has_lat,lat_31
state_2_-6_7_0_9_825,escalate_to,state_2_-6_9_0_9_1300
state_3_-8_14_0_9_275,has_lat,lat_27
state_3_-8_11_0_9_175,transit_to,state_3_-8_8_0_9_175
state_2_-5_18_0_9_350,has_lat,lat_20
state_2_-4_21_0_9_0,transit_to,state_2_-4_18_0_9_0
state_4_-6_29_0_9_0,transit_to,state_4_-6_30_0_9_0
state_3_-9_9_0_9_0,transit_to,state_3_-9_6_0_9_0
state_2_-6_25_0_9_450,has_long,long_-64
state_2_-4_22_0_9_0,has_lat,lat_22
state_4_-7_13_0_9_1500,transit_to,state_4_-7_15_0_9_0
state_4_-8_23_0_9_0,transit_to,state_4_-8_25_0_9_700
state_4_-3_2_0_9_0,transit_to,state_4_-3_4_0_9_0
state_2_-5_22_0_9_0,has_lat,lat_20
state_3_-7_20_0_9_600,transit_to,state_3_-7_21_0_9_1400
state_2_-6_13_0_9_0,has_lat,lat_19
state_2_-4_19_0_9_675,has_long,long_-44
state_2_-8_3_0_9_0,transit_to,state_2_-8_8_0_9_0
state_3_-9_14_0_9_825,transit_to,state_3_-9_18_0_9_275
state_4_-6_20_0_9_0,has_lat,lat_40
state_1_-4_13_0_9_0,transit_to,state_1_-5_14_0_9_0
state_2_-4_6_0_9_0,has_long,long_-39
state_4_-4_30_0_9_0,has_lat,lat_39
state_2_-7_14_0_9_700,has_long,long_-66
state_3_-4_13_0_9_175,has_long,long_-45
state_2_-3_31_0_9_0,transit_to,state_2_-4_38_0_9_0
state_3_-9_5_0_9_350,has_long,long_-92
state_2_-8_20_0_9_1350,transit_to,state_2_-8_20_0_9_1350
state_3_-7_25_0_9_700,transit_to,state_3_-7_27_0_9_700
state_2_-8_29_0_9_2600,has_long,long_-78
state_4_-4_32_0_9_0,transit_to,state_4_-4_29_0_9_0
state_1_-4_21_0_9_750,has_long,long_-42
state_2_-5_14_0_9_2700,transit_to,state_2_-5_13_0_9_0
state_2_-9_6_0_9_0,has_long,long_-88
state_2_-9_18_0_9_600,has_long,long_-94
state_2_-5_27_0_9_300,has_long,long_-52
state_2_-5_31_0_9_550,has_lat,lat_16
state_2_-6_8_0_9_0,has_lat,lat_19
state_3_-7_10_0_9_0,transit_to,state_3_-7_13_0_9_0
state_2_-5_17_0_9_0,has_long,long_-47
state_2_-8_25_0_9_1575,has_long,long_-83
state_3_-9_11_0_9_150,has_lat,lat_30
state_3_-8_17_0_9_0,transit_to,state_3_-8_20_0_9_350
state_2_-9_19_0_9_825,has_long,long_-93
state_3_-8_23_0_9_650,has_lat,lat_31
state_2_-7_8_0_9_1000,has_lat,lat_24
state_4_-6_42_0_9_0,transit_to,state_4_-6_46_0_9_0
state_1_-8_7_0_9_175,has_long,long_-83
state_2_-8_12_0_9_150,transit_to,state_2_-8_11_0_9_0
state_1_-3_22_0_9_0,has_lat,lat_15
state_3_-3_44_0_9_1500,has_lat,lat_28
state_2_-4_27_0_9_0,transit_to,state_2_-4_28_0_9_0
state_1_-3_24_0_9_400,has_long,long_-34
state_4_-6_43_0_9_1400,transit_to,state_5_-5_60_0_9_1050
state_2_-9_27_0_9_3300,has_lat,lat_22
state_2_-5_36_0_9_0,has_long,long_-46
state_2_-11_11_0_9_0,has_lat,lat_22
long_-75,in_long_zone,long_-7
state_3_-10_34_0_9_0,has_lat,lat_30
state_2_-6_15_0_9_550,transit_to,state_2_-7_16_0_9_600
state_4_-9_33_0_9_0,has_lat,lat_40
state_2_-7_22_0_9_2500,has_lat,lat_24
state_4_-4_47_0_9_0,has_long,long_-40
state_3_-9_11_0_9_600,transit_to,state_3_-9_12_0_9_675
state_4_-6_13_0_9_350,transit_to,state_4_-6_17_0_9_0
state_2_-5_30_0_9_175,has_lat,lat_16
state_3_-8_5_0_9_450,has_long,long_-77
state_2_-6_20_0_9_1800,has_long,long_-65
state_3_-8_8_0_9_0,has_long,long_-83
state_3_-4_16_0_9_375,transit_to,state_3_-3_18_0_9_375
state_2_-6_22_0_9_350,transit_to,state_2_-6_23_0_9_0
state_2_-6_4_0_9_1050,has_long,long_-61
state_3_-7_10_0_9_175,transit_to,state_3_-7_11_0_9_400
long_-58,in_long_zone,long_-6
state_3_-5_14_0_9_400,has_lat,lat_29
state_4_-8_23_0_9_0,has_lat,lat_41
state_4_-7_29_0_9_0,transit_to,state_4_-7_26_0_9_0
state_2_-11_7_0_9_0,has_lat,lat_24
state_2_-6_18_0_9_150,has_long,long_-58
state_2_-9_17_0_9_1600,has_lat,lat_21
state_2_-9_4_0_9_600,has_lat,lat_21
state_2_-8_33_0_9_725,has_long,long_-83
state_2_-3_20_0_9_150,has_lat,lat_18
state_2_-6_20_0_9_1000,has_long,long_-63
state_3_-6_11_0_9_600,has_lat,lat_29
state_3_-6_43_0_9_0,has_lat,lat_30
state_2_-9_35_0_9_0,has_long,long_-85
state_1_-3_18_0_9_0,has_lat,lat_14
state_4_-5_8_0_9_0,has_lat,lat_37
state_3_-7_14_0_9_825,has_long,long_-67
state_4_-4_24_0_9_750,has_long,long_-38
state_2_-3_26_0_9_200,transit_to,state_2_-4_27_0_9_200
state_2_-6_13_0_9_0,transit_to,state_2_-6_13_0_9_650
state_4_-6_30_0_9_900,has_long,long_-64
state_4_-6_17_0_9_2250,has_lat,lat_42
state_1_-5_23_0_9_0,has_long,long_-51
state_2_-10_12_0_9_300,has_lat,lat_22
state_2_-8_5_0_9_175,has_long,long_-81
state_1_-8_2_0_9_0,has_lat,lat_14
state_3_-7_16_0_9_175,has_long,long_-67
state_2_-4_32_0_9_900,has_lat,lat_16
state_3_-4_34_0_9_0,has_long,long_-44
state_3_-5_7_0_9_1000,has_long,long_-50
state_2_-6_45_0_9_175,has_long,long_-61
state_2_-4_32_0_9_0,has_long,long_-39
state_3_-9_29_0_9_0,has_long,long_-86
state_2_-5_30_0_9_0,has_lat,lat_15
state_3_-8_5_0_9_175,has_lat,lat_29
state_2_-8_16_0_9_500,has_long,long_-80
state_2_-4_24_0_9_150,has_lat,lat_15
state_3_-8_21_0_9_0,transit_to,state_4_-7_36_0_9_150
state_1_-3_36_0_9_175,has_long,long_-34
state_3_-7_14_0_9_0,has_long,long_-66
state_3_-8_9_0_9_200,has_lat,lat_26
state_2_-9_11_0_9_0,has_lat,lat_20
state_3_-9_35_0_9_550,has_long,long_-86
state_3_-4_12_0_9_0,transit_to,state_3_-4_5_0_9_0
state_3_-8_8_0_9_175,has_long,long_-76
state_3_-5_19_0_9_0,has_lat,lat_30
state_2_-6_18_0_9_750,transit_to,state_2_-6_15_0_9_1200
state_2_-7_21_0_9_675,transit_to,state_2_-7_19_0_9_2025
state_3_-5_14_0_9_0,has_long,long_-55
state_3_-4_25_0_9_275,transit_to,state_3_-4_21_0_9_275
state_3_-7_15_0_9_0,has_long,long_-72
lat_10,in_lat_zone,lat_1
state_3_-7_22_0_9_550,transit_to,state_3_-7_22_0_9_550
state_2_-5_13_0_9_0,transit_to,state_2_-5_13_0_9_0
state_3_-3_5_0_9_0,has_lat,lat_31
state_1_-3_28_0_9_175,has_lat,lat_12
state_2_-6_9_0_9_0,has_long,long_-64
state_1_-7_8_0_9_250,has_long,long_-74
state_2_-5_12_0_9_300,transit_to,state_2_-5_12_0_9_600
state_3_-8_7_0_9_0,has_long,long_-76
state_3_-6_19_0_9_1650,has_long,long_-60
state_2_-7_9_0_9_1400,transit_to,state_2_-7_14_0_9_350
state_3_-9_13_0_9_350,transit_to,state_3_-9_12_0_9_350
state_3_-7_20_0_9_225,transit_to,state_3_-6_21_0_9_225
state_3_-4_29_0_9_1300,has_long,long_-41
state_2_-5_19_0_9_1875,has_lat,lat_18
state_2_-4_20_0_9_350,has_lat,lat_15
state_2_-5_32_0_9_0,transit_to,state_2_-5_31_0_9_0
state_4_-8_20_0_9_350,has_lat,lat_37
state_1_-8_14_0_9_150,has_lat,lat_11
state_3_-7_19_0_9_250,has_long,long_-69
state_2_-8_13_0_9_400,transit_to,state_2_-8_12_0_9_0
state_3_-7_15_0_9_175,has_lat,lat_32
long_-84,in_long_zone,long_-8
state_2_-5_20_0_9_1800,transit_to,state_2_-5_21_0_9_450
state_1_-3_25_0_9_0,has_lat,lat_10
state_2_-7_19_0_9_1500,has_lat,lat_17
state_2_-6_26_0_9_1725,has_long,long_-56
state_2_-8_8_0_9_175,transit_to,state_2_-8_7_0_9_0
state_3_-5_14_0_9_250,transit_to,state_3_-5_17_0_9_550
state_3_-8_21_0_9_375,transit_to,state_3_-8_25_0_9_0
state_3_-7_13_0_9_450,has_lat,lat_32
state_2_-6_8_0_9_225,has_lat,lat_19
state_1_-4_22_0_9_0,has_long,long_-44
state_3_-8_6_0_9_450,transit_to,state_3_-8_12_0_9_450
state_2_-5_13_0_9_300,has_lat,lat_16
state_1_-4_15_0_9_450,has_lat,lat_14
state_2_-8_29_0_9_400,has_lat,lat_25
state_1_-3_29_0_9_1300,escalate_to,state_1_-3_27_0_9_1050
state_1_-7_28_0_9_1800,transit_to,state_1_-7_27_0_9_600
state_3_-5_11_0_9_550,has_lat,lat_33
state_2_-5_29_0_9_525,transit_to,state_2_-5_25_0_9_0
state_4_-7_23_0_9_0,has_lat,lat_38
state_2_-4_25_0_9_1125,has_long,long_-38
state_4_-3_14_0_9_0,transit_to,state_4_-3_16_0_9_350
state_2_-4_19_0_9_1500,has_lat,lat_16
state_3_-6_25_0_9_600,has_lat,lat_30
state_2_-9_7_0_9_325,has_long,long_-94
state_3_-4_3_0_9_0,transit_to,state_3_-4_7_0_9_0
state_1_-4_21_0_9_150,transit_to,state_1_-4_22_0_9_0
state_2_-4_6_0_9_275,has_long,long_-40
state_3_-3_12_0_9_350,has_lat,lat_29
state_2_-6_26_0_9_250,has_long,long_-63
state_1_-5_39_0_9_300,transit_to,state_2_-5_33_0_9_150
state_4_-6_30_0_9_1000,has_lat,lat_39
state_3_-7_20_0_9_1250,has_long,long_-70
state_4_-6_25_0_9_2300,transit_to,state_4_-6_31_0_9_1150
state_2_-7_8_0_9_550,escalate_to,state_2_-7_11_0_9_1400
state_4_-3_28_0_9_150,has_lat,lat_36
state_3_-6_19_0_9_2300,has_long,long_-62
state_3_-9_26_0_9_2200,has_lat,lat_25
state_1_-3_22_0_9_175,has_long,long_-25
state_3_-5_16_0_9_0,has_long,long_-53
state_3_-5_18_0_9_1050,has_long,long_-52
state_4_-5_19_0_9_0,has_long,long_-46
state_3_-5_12_0_9_1100,has_lat,lat_35
state_3_-8_28_0_9_1400,transit_to,state_3_-8_29_0_9_2800
state_2_-4_31_0_9_0,has_lat,lat_18
state_3_-8_20_0_9_975,transit_to,state_3_-8_20_0_9_325
state_2_-4_22_0_9_675,transit_to,state_2_-4_19_0_9_450
state_2_-3_32_0_9_150,has_long,long_-29
state_2_-6_16_0_9_450,escalate_to,state_2_-6_16_0_9_825
state_3_-6_4_0_9_825,has_long,long_-61
state_2_-9_6_0_9_550,has_lat,lat_21
state_3_-8_13_0_9_1725,transit_to,state_4_-8_12_0_9_0
state_2_-8_19_0_9_1400,has_lat,lat_17
state_2_-10_15_0_9_400,has_long,long_-95
state_2_-4_14_0_9_850,has_long,long_-43
state_3_-4_20_0_9_0,has_lat,lat_27
state_4_-3_12_0_9_650,has_lat,lat_35
state_2_-4_20_0_9_0,has_lat,lat_17
state_3_-6_15_0_9_0,has_lat,lat_25
state_3_-5_30_0_9_625,transit_to,state_3_-4_35_0_9_2500
state_2_-8_7_0_9_200,has_lat,lat_16
state_4_-3_3_0_9_0,has_long,long_-34
state_3_-7_23_0_9_850,has_long,long_-70
state_2_-10_11_0_9_650,transit_to,state_2_-10_18_0_9_650
state_2_-8_8_0_9_0,transit_to,state_2_-8_8_0_9_0
state_4_-7_14_0_9_0,has_long,long_-73
state_3_-8_11_0_9_1275,has_lat,lat_28
state_1_-6_13_0_9_0,transit_to,state_1_-7_15_0_9_0
state_2_-8_4_0_9_0,transit_to,state_2_-8_6_0_9_175
state_4_-4_25_0_9_375,transit_to,state_4_-3_34_0_9_400
state_3_-7_23_0_9_275,has_long,long_-69
state_2_-8_11_0_9_500,has_long,long_-84
state_3_-4_4_0_9_0,has_long,long_-41
state_2_-8_13_0_9_350,has_long,long_-83
state_1_-3_30_0_9_0,transit_to,state_2_-4_27_0_9_200
state_3_-6_14_0_9_350,has_lat,lat_31
state_2_-3_13_0_9_1800,escalate_to,state_2_-3_15_0_9_3300
state_3_-5_25_0_9_700,transit_to,state_3_-5_24_0_9_350
state_2_-6_6_0_9_600,transit_to,state_2_-6_7_0_9_300
state_2_-2_10_0_9_200,has_long,long_-24
state_2_-3_9_0_9_175,has_long,long_-28
state_2_-6_8_0_9_0,has_lat,lat_15
state_4_-7_8_0_9_0,transit_to,state_4_-7_18_0_9_0
state_2_-8_5_0_9_325,transit_to,state_2_-8_8_0_9_325
state_3_-5_10_0_9_700,transit_to,state_3_-5_10_0_9_0
state_2_-2_14_0_9_0,transit_to,state_2_-2_17_0_9_0
state_2_-8_27_0_9_700,has_long,long_-82
state_3_-7_19_0_9_450,transit_to,state_4_-6_53_0_9_0
state_4_-3_4_0_9_0,has_long,long_-34
state_2_-5_5_0_9_0,transit_to,state_2_-5_3_0_9_0
state_2_-6_14_0_9_0,transit_to,state_2_-6_17_0_9_0
state_2_-3_30_0_9_0,has_lat,lat_18
state_2_-7_5_0_9_900,has_long,long_-73
state_3_-8_15_0_9_1400,has_long,long_-76
state_3_-5_14_0_9_0,has_long,long_-49
state_2_-5_20_0_9_0,has_lat,lat_17
state_2_-6_25_0_9_225,has_long,long_-55
state_3_-9_10_0_9_900,has_lat,lat_28
state_3_-8_17_0_9_1425,transit_to,state_4_-7_18_0_9_1500
state_3_-5_18_0_9_400,has_long,long_-47
state_3_-4_13_0_9_0,has_long,long_-42
state_2_-3_30_0_9_0,transit_to,state_2_-3_30_0_9_175
state_3_-5_19_0_9_0,has_lat,lat_29
state_1_-8_12_0_9_0,transit_to,state_2_-8_11_0_9_0
state_3_-7_6_0_9_700,transit_to,state_3_-6_8_0_9_750
state_2_-5_34_0_9_0,has_lat,lat_22
state_2_-5_14_0_9_2700,has_long,long_-54
state_3_-4_19_0_9_950,transit_to,state_3_-4_16_0_9_950
state_2_-9_11_0_9_600,has_lat,lat_16
state_1_-4_20_0_9_175,has_lat,lat_12
state_1_-5_25_0_9_1200,transit_to,state_1_-5_26_0_9_1275
state_2_-7_8_0_9_650,transit_to,state_2_-7_10_0_9_325
state_2_-3_26_0_9_850,has_long,long_-35
state_2_-6_19_0_9_375,has_lat,lat_20
state_1_-3_24_0_9_150,transit_to,state_1_-3_28_0_9_175
state_1_-3_10_0_9_0,has_long,long_-26
state_2_-8_13_0_9_1350,has_long,long_-83
state_3_-4_8_0_9_550,transit_to,state_3_-4_9_0_9_600
state_3_-7_22_0_9_300,has_long,long_-74
state_1_-2_7_0_9_150,has_lat,lat_14
state_3_-6_23_0_9_275,has_lat,lat_32
state_4_-5_3_0_9_0,has_long,long_-46
state_2_-8_13_0_9_0,transit_to,state_2_-8_13_0_9_325
state_2_-3_8_0_9_0,transit_to,state_2_-3_8_0_9_200
state_2_-8_20_0_9_0,has_long,long_-79
state_2_-7_27_0_9_0,has_lat,lat_15
state_2_-8_10_0_9_1200,transit_to,state_2_-8_15_0_9_600
state_2_-8_24_0_9_0,has_long,long_-77
state_3_-7_17_0_9_0,has_long,long_-66
state_1_-5_31_0_9_0,has_long,long_-47
state_2_-9_16_0_9_175,has_long,long_-87
state_3_-5_18_0_9_0,has_long,long_-52
state_3_-8_7_0_9_0,has_long,long_-80
state_2_-8_6_0_9_250,has_long,long_-84
state_3_-6_9_0_9_750,has_lat,lat_26
state_2_-10_8_0_9_0,transit_to,state_2_-10_6_0_9_125
state_4_-6_13_0_9_350,has_long,long_-65
state_3_-9_12_0_9_0,transit_to,state_3_-9_10_0_9_0
state_2_-7_24_0_9_0,transit_to,state_2_-7_23_0_9_250
state_2_-5_23_0_9_600,has_lat,lat_16
state_2_-6_17_0_9_0,has_long,long_-64
state_2_-2_24_0_9_0,has_lat,lat_21
state_2_-5_3_0_9_0,has_lat,lat_17
state_3_-9_5_0_9_400,has_long,long_-89
state_4_-6_14_0_9_0,has_long,long_-58
state_3_-5_25_0_9_1125,has_lat,lat_26
state_2_-8_12_0_9_0,transit_to,state_2_-8_13_0_9_0
state_4_-5_53_0_9_0,has_lat,lat_38
state_2_-8_11_0_9_0,has_lat,lat_16
state_2_-10_8_0_9_600,has_long,long_-96
state_3_-9_21_0_9_250,has_lat,lat_30
state_1_-4_34_0_9_0,has_long,long_-39
state_3_-8_7_0_9_175,transit_to,state_3_-8_8_0_9_200
state_2_-6_13_0_9_275,transit_to,state_2_-6_16_0_9_650
state_4_-4_34_0_9_0,transit_to,state_4_-4_39_0_9_325
state_2_-9_21_0_9_0,transit_to,state_2_-9_20_0_9_125
state_1_-3_14_0_9_0,has_lat,lat_13
state_1_-5_29_0_9_750,escalate_to,state_2_-5_32_0_9_825
state_1_-6_32_0_9_350,transit_to,state_1_-6_32_0_9_400
state_1_-4_31_0_9_150,has_lat,lat_14
state_3_-9_26_0_9_1425,has_long,long_-85
state_4_-4_28_0_9_0,has_lat,lat_38
state_3_-8_14_0_9_0,has_lat,lat_25
state_3_-7_20_0_9_1375,escalate_to,state_3_-7_21_0_9_1950
state_2_-8_39_0_9_275,transit_to,state_2_-8_29_0_9_600
state_2_-9_8_0_9_150,transit_to,state_2_-9_5_0_9_150
state_3_-8_13_0_9_250,has_lat,lat_29
state_3_-6_6_0_9_0,has_long,long_-56
state_2_-8_20_0_9_3850,has_lat,lat_23
state_3_-6_10_0_9_400,has_lat,lat_32
state_1_-3_14_0_9_200,has_long,long_-28
state_1_-4_39_0_9_0,has_long,long_-45
state_2_-5_6_0_9_0,transit_to,state_2_-5_5_0_9_0
state_2_-5_11_0_9_0,has_lat,lat_21
state_2_-7_18_0_9_900,has_lat,lat_22
state_3_-9_6_0_9_0,transit_to,state_3_-9_6_0_9_0
state_1_-4_38_0_9_150,has_long,long_-39
state_3_-9_12_0_9_0,transit_to,state_3_-9_11_0_9_0
state_1_-2_17_0_9_0,has_lat,lat_13
state_3_-10_31_0_9_600,transit_to,state_2_-10_28_0_9_650
state_4_-5_17_0_9_600,transit_to,state_4_-5_16_0_9_650
state_2_-6_24_0_9_300,has_lat,lat_20
state_1_-4_38_0_9_150,has_long,long_-35
state_3_-8_12_0_9_500,has_lat,lat_28
state_4_-9_22_0_9_0,has_lat,lat_38
state_1_-3_22_0_9_150,transit_to,state_1_-3_21_0_9_150
state_1_-5_43_0_9_150,has_long,long_-49
state_2_-8_26_0_9_0,transit_to,state_2_-8_22_0_9_0
state_2_-4_17_0_9_400,transit_to,state_2_-4_19_0_9_450
state_2_-5_23_0_9_0,transit_to,state_2_-6_21_0_9_0
state_1_-4_25_0_9_0,transit_to,state_2_-5_26_0_9_0
state_2_-6_11_0_9_1000,has_long,long_-63
state_3_-7_19_0_9_400,transit_to,state_3_-7_19_0_9_425
state_3_-9_18_0_9_400,has_lat,lat_29
state_2_-8_15_0_9_200,has_long,long_-80
state_2_-8_8_0_9_0,has_lat,lat_16
state_4_-4_26_0_9_0,transit_to,state_4_-4_30_0_9_0
state_2_-5_30_0_9_0,has_long,long_-47
state_3_-7_8_0_9_300,transit_to,state_4_-7_10_0_9_300
state_2_-5_18_0_9_400,transit_to,state_3_-5_16_0_9_225
state_2_-10_13_0_9_0,has_long,long_-98
state_2_-8_14_0_9_350,has_long,long_-83
state_2_-8_35_0_9_3100,escalate_to,state_2_-8_31_0_9_3100
state_2_-7_24_0_9_500,transit_to,state_2_-7_23_0_9_550
state_3_-7_6_0_9_650,has_long,long_-71
state_2_-8_17_0_9_225,has_long,long_-84
state_2_-6_15_0_9_0,has_long,long_-65
state_3_-9_21_0_9_900,has_long,long_-92
state_2_-7_34_0_9_0,has_lat,lat_16
state_1_-7_6_0_9_1200,escalate_to,state_1_-7_7_0_9_975
state_1_-6_31_0_9_750,has_long,long_-64
state_2_-8_6_0_9_325,has_lat,lat_16
state_3_-5_25_0_9_700,has_long,long_-52
state_2_-5_22_0_9_3125,transit_to,state_2_-5_24_0_9_625
state_2_-4_28_0_9_225,has_long,long_-37
state_3_-9_15_0_9_0,has_lat,lat_29
state_2_-7_13_0_9_0,has_long,long_-71
state_3_-8_18_0_9_275,transit_to,state_3_-8_26_0_9_1400
state_3_-7_26_0_9_2250,has_lat,lat_30
state_1_-3_19_0_9_0,has_lat,lat_15
state_3_-8_31_0_9_0,has_long,long_-81
state_3_-7_12_0_9_375,transit_to,state_3_-7_14_0_9_400
state_4_-8_23_0_9_0,has_long,long_-80
state_1_-5_34_0_9_0,has_long,long_-50
state_2_-6_22_0_9_1250,has_long,long_-62
state_2_-3_16_0_9_150,has_lat,lat_15
state_3_-6_23_0_9_275,has_lat,lat_31
state_3_-6_8_0_9_650,has_lat,lat_32
state_2_-3_9_0_9_400,has_long,long_-32
state_4_-4_28_0_9_300,has_lat,lat_39
state_2_-7_24_0_9_2000,escalate_to,state_2_-7_24_0_9_2850
state_3_-7_13_0_9_0,has_long,long_-73
state_3_-5_18_0_9_0,has_lat,lat_33
state_3_-9_6_0_9_0,has_long,long_-91
state_1_-4_30_0_9_600,has_long,long_-43
state_4_-6_13_0_9_0,has_lat,lat_39
state_2_-2_13_0_9_0,transit_to,state_2_-2_12_0_9_0
state_2_-8_9_0_9_1125,transit_to,state_2_-8_10_0_9_375
state_2_-10_4_0_9_400,has_lat,lat_20
state_2_-8_13_0_9_600,has_lat,lat_18
state_2_-4_32_0_9_700,has_long,long_-42
state_2_-8_10_0_9_225,has_lat,lat_16
state_1_-8_31_0_9_500,has_lat,lat_12
state_3_-8_24_0_9_0,has_lat,lat_31
state_2_-3_12_0_9_0,has_long,long_-33
state_2_-7_9_0_9_150,has_long,long_-71
state_1_-5_41_0_9_650,has_long,long_-54
state_2_-4_13_0_9_175,has_lat,lat_16
state_2_-9_15_0_9_4500,has_lat,lat_25
state_2_-9_21_0_9_825,transit_to,state_2_-9_28_0_9_825
state_1_-5_35_0_9_0,transit_to,state_1_-5_36_0_9_0
state_2_-3_22_0_9_0,has_lat,lat_20
state_2_-7_18_0_9_550,has_lat,lat_16
state_3_-8_13_0_9_250,transit_to,state_3_-7_14_0_9_900
state_1_-8_8_0_9_0,has_long,long_-81
state_2_-4_24_0_9_0,has_lat,lat_21
state_2_-5_15_0_9_1200,has_lat,lat_15
state_2_-6_17_0_9_350,has_lat,lat_18
state_2_-9_9_0_9_500,transit_to,state_2_-9_11_0_9_500
state_3_-5_10_0_9_0,transit_to,state_3_-5_13_0_9_475
state_1_-3_15_0_9_175,has_lat,lat_11
state_3_-4_4_0_9_0,has_long,long_-39
state_4_-4_19_0_9_325,transit_to,state_4_-4_23_0_9_325
state_1_-7_28_0_9_225,transit_to,state_2_-7_29_0_9_0
state_2_-9_18_0_9_900,has_lat,lat_22
state_1_-3_23_0_9_0,transit_to,state_1_-3_22_0_9_150
state_3_-5_18_0_9_625,has_long,long_-50
state_3_-7_6_0_9_600,has_lat,lat_32
state_4_-5_25_0_9_525,transit_to,state_4_-5_31_0_9_525
state_2_-8_16_0_9_1500,has_long,long_-76
state_3_-6_32_0_9_0,has_long,long_-63
state_3_-7_13_0_9_0,has_long,long_-67
state_3_-6_15_0_9_0,has_long,long_-60
state_1_-6_43_0_9_450,transit_to,state_1_-6_44_0_9_500
state_1_-4_34_0_9_200,has_lat,lat_13
state_3_-7_17_0_9_1200,transit_to,state_3_-6_20_0_9_300
state_1_-8_26_0_9_350,transit_to,state_1_-8_28_0_9_0
state_4_-6_11_0_9_0,has_lat,lat_38
state_2_-4_34_0_9_0,has_long,long_-38
state_3_-6_11_0_9_0,transit_to,state_3_-6_13_0_9_0
state_2_-5_16_0_9_575,has_long,long_-46
state_4_-5_66_0_9_1625,has_long,long_-54
state_4_-6_22_0_9_1500,has_long,long_-55
state_1_-7_40_0_9_175,transit_to,state_1_-7_42_0_9_400
state_2_-8_18_0_9_250,has_long,long_-81
state_2_-9_7_0_9_175,transit_to,state_2_-9_5_0_9_400
