,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p,i_p,year,month,season,distance_travelled_km,speed_p,speed_z_p,distance_travelled_km_p,Maximum.Wind_step_2,Maximum.Wind_step_3,Maximum.Wind_step_1,Maximum.Wind_step_4,Maximum.Wind_step_5,diff_step_1,diff_step_2,diff_step_3,diff_step_4,diff_step_5,rapid_int_step_1,rapid_int_step_2,rapid_int_step_3,rapid_int_step_4,rapid_int_step_5
19,AL011982,            ALBERTO, TD,22.2,-86.5,25,6/2/1982 18:00,,,2,17,,,20.0,207.39067590000002,0.024783576,9.266243887,101,20,21.7,-87.1,1,1982,6,3,83.18806611134343,,,,40,50,30,75,65,5,15,25,50,40,0.0,0.0,1.0,1.0,1.0
20,AL011982,            ALBERTO, TD,22.6,-85.8,30,6/3/1982 0:00,,,3,17,,,25.0,199.41445819999998,0.023767782,9.266243887,100,25,22.2,-86.5,2,1982,6,3,84.59891729942639,207.39067590000002,0.024783576,83.18806611134343,50,75,40,65,55,10,20,45,35,25,0.0,1.0,1.0,1.0,1.0
21,AL011982,            ALBERTO, TS,22.8,-85.0,40,6/3/1982 6:00,,,4,17,10.0,300.0,30.0,13.9293157,0.027783011,9.266243887,100,30,22.6,-85.8,3,1982,6,3,85.02499657549548,199.41445819999998,0.023767782,84.59891729942639,75,65,50,55,,10,35,25,15,,0.0,1.0,1.0,0.0,
22,AL011982,            ALBERTO, TS,23.2,-84.2,50,6/3/1982 12:00,30.0,1.0,5,17,15.0,600.0,40.0,13.99310974,0.0282915,9.266243887,100,40,22.8,-85.0,4,1982,6,3,93.18413103599057,13.9293157,0.027783011,85.02499657549548,65,55,75,,,25,15,5,,,1.0,0.0,0.0,,
23,AL011982,            ALBERTO, HU,24.0,-83.6,75,6/3/1982 18:00,50.0,1.0,6,17,20.0,1000.0,50.0,14.74561784,0.028692091,9.266243887,100,50,23.2,-84.2,5,1982,6,3,107.93879268190564,13.99310974,0.0282915,93.18413103599057,55,,65,,,-10,-20,,,,0.0,0.0,,,
24,AL011982,            ALBERTO, HU,24.8,-83.4,65,6/4/1982 0:00,35.0,1.0,7,17,35.0,2625.0,75.0,16.29054419,0.028890295,9.266243887,99,75,24.0,-83.6,6,1982,6,3,91.2322295966018,14.74561784,0.028692091,107.93879268190564,,,55,,,-10,,,,,0.0,,,,
25,AL011982,            ALBERTO, TS,24.9,-84.1,55,6/4/1982 6:00,15.0,0.0,8,17,15.0,1125.0,75.0,16.29928087,0.029282467000000003,9.266243887,99,65,24.8,-83.4,7,1982,6,3,71.49950003974762,16.29054419,0.028890295,91.2322295966018,,,,,,,,,,,,,,,
26,AL011982,            ALBERTO, TD,25.5,-83.3,25,6/6/1982 0:00,-5.0,0.0,15,17,0.0,0.0,75.0,3.829303985,0.031156193,9.266243887,97,,25.4,-83.6,,1982,6,3,32.10826415098337,,,,20,,25,,,0,-5,,,,0.0,0.0,,,
27,AL011982,            ALBERTO, TD,25.5,-83.0,25,6/6/1982 6:00,0.0,0.0,16,17,0.0,0.0,75.0,5.353325551,0.031245967000000003,9.266243887,97,,25.5,-83.3,,1982,6,3,30.108864970563342,,,,,,20,,,-5,,,,,0.0,,,,
28,AL011982,            ALBERTO, TD,25.5,-82.6,20,6/6/1982 12:00,-5.0,0.0,17,17,0.0,0.0,75.0,5.105027861,0.031335361,9.266243887,97,,25.5,-83.0,,1982,6,3,40.14514668340648,,,,,,,,,,,,,,,,,,
29,AL011983,            UNNAMED, TD,10.0,-38.0,20,7/23/1983 12:00,,,1,22,,,,,,,50,,,,,1983,7,3,,,,,25,30,25,30,30,5,5,10,10,10,0.0,0.0,0.0,0.0,0.0
